open_pr_id,open_pr_title,match_found,score,match_pr_id,match_pr_title
22944,chore(deps): bump dompurify from 3.3.0 to 3.3.2 in /docs/my-website,False,0.7670,,
22943,feat(mcp): OAuth2 authorization-code flow for OpenAPI BYOK MCP servers,True,0.8832,22850,feat(mcp): BYOK MCP servers with OAuth 2.1 PKCE authorization flow
22942,Litellm agents budget limits,False,0.7955,,
22941,Mcp operational visibility,True,0.9075,22752,[Feat] Add Google Search API Integration
22935,Add Rubrik plugin for tool call blocking and request logging,False,0.7491,,
22929,fix: duplicate  logs on claude code cli requests,False,0.8137,,
22927,fix(pass-through): use isinstance check instead of isasyncgen for vllm/azure streaming routes,False,0.7860,,
22923,fix(sso): direct PKCE token exchange + Redis wiring for multi-instance SSO,False,0.8422,,
22921,Tool Policies - add 'agent id' column to see what agent called which tool  ,True,0.9233,22255,[Infra] Adding agent_id to Delete Keys Table
22914,Fix exception pickling for concurrent.futures / multiprocessing,False,0.7928,,
22912,fix: HuggingFace cost calculation now respects custom input_cost_per_token/output_cost_per_token config,False,0.8346,,
22911,fix(proxy): handle user_email on /key/generate by creating/linking user record,False,0.7757,,
22908,fix(ui): parse YAML and update state in blocklist file upload handler,False,0.7401,,
22907,fix(github_copilot): check only last message for initiator determination,False,0.7459,,
22903,fix(lint): fix 6 ruff errors breaking CI on main,False,0.8448,,
22897,fix response not being redacted for custom callbacks with streaming enabled,False,0.8558,,
22894,feat(skills): add /ask-codebase codebase intelligence skill,False,0.7723,,
22886,fix(a2a): replace bare assert with descriptive RuntimeError on retry exhaustion,False,0.7563,,
22885,Add SAP additional modules and possibility of modules list,False,0.7754,,
22883,(fix): token_count calculation during inline data sent during multimodal inputs,False,0.8700,,
22879,fix(guardrail): pass request_data through unified guardrail to output handlers,False,0.7983,,
22874,fix(ci): fix failing CI tests and version mismatches,True,0.8728,21797,fix: 2 failing CI tests in litellm_mapped_tests_proxy_part2
22868,chore: remove webhook-test.com references from generic API examples,False,0.8627,,
22865,refactor: websearch interception to use async_execute_tool_calls hook,False,0.8075,,
22864,feat: add async_execute_tool_calls hook to CustomLogger,False,0.7729,,
22860,[Fix] UI Logo: serve local files with correct Content-Type and fix fallback chain,False,0.7816,,
22853,[Feature] Add /v2/user/info endpoint for lightweight user profile lookups,False,0.7833,,
22849,Agents - add max budget + tpm/rpm limiting per agent AND per agent session ,False,0.8413,,
22844,Litellm oss staging 03 05 2026,True,0.9957,22689,Litellm oss staging 03 03 2026
22843,fix(router): filter deployments by access groups to prevent cross-group load balancing,False,0.8336,,
22840,chore(deps): bump svgo from 3.3.2 to 3.3.3 in /docs/my-website,False,0.7767,,
22839,"Agents - enforce x-litellm-trace-id, support spend tracking for agent when key assigned to agent is updated ",False,0.7938,,
22832,build(deps): bump @tootallnate/once and jest-environment-jsdom in /tests/proxy_admin_ui_tests/ui_unit_tests,False,0.7327,,
22811,build(deps): bump @hono/node-server from 1.19.6 to 1.19.10 in /litellm-js/spend-logs,False,0.7883,,
22808,Docs/connection pool leak,False,0.8640,,
22806,build(deps): bump hono from 4.10.6 to 4.12.5 in /litellm-js/spend-logs,False,0.8243,,
22795,fix(ci): fix Mock.keys() TypeError in proxy tests + defensive type check,False,0.8430,,
22794,fix(ci): fix Mock.keys() failure in proxy_utils test,False,0.8400,,
22793,fix(proxy): return JSON error when first SSE chunk has error.code null,False,0.8045,,
22792,"fix: model tpm/rpm, softbudget, cache invalidation",False,0.7955,,
22787,feat(proxy): add /skill endpoints with virtual key scoping,False,0.8163,,
22782,fix(mcp): add AWS SigV4 auth for Bedrock AgentCore MCP servers,False,0.8206,,
22779,fix(ui): populate Customer/Customer ID columns in CSV export from end_user,False,0.7811,,
22774,fix(openrouter): remove usage injection that causes TypeError on OpenAI SDK path,False,0.7783,,
22770,fix(bedrock): prevent inference_geo and speed from leaking to Bedrock API,False,0.7921,,
22766,fix(responses): pass extra_body through responses-to-completion bridge,False,0.8405,,
22764,fix(mcp): forward extra_headers to OpenAPI-based MCP servers,False,0.8508,,
22757,fix: preserve ProxyException status codes in MCP server handler,False,0.8457,,
22749,fix(cache): preserve embedding indices on cache merges,False,0.7509,,
22746,fix(pass-through): avoid adapter registry overwrite,False,0.7850,,
22745,fix(redis): skip SSLConnection when ssl=False in connection pool,False,0.8396,,
22743,[Fix] Validate key MCP server assignments against team permissions,False,0.8131,,
